Рыба №	Опыт №	Проба №	Маршрут
4	9	2	НОФХША+ШХХХХШДСЕЛКА-ДССДА-А-ККА-ДСЕЛКА-ДССДА-А-ДСЕЛКА-ДССДА-А-ШХЦЩГ-ЗССЗЩЦХША-ШХЦЩЗССЗЩЗСЖЛКГ+ККЗЗЩЦХША-ШХЦЩГ-ЗСТТЖЛКГ-ЩЦХХЦЗСТ
4	9	3	НОООФХША+КИФХХЦЗЗКЛЛКГ+ЗСЖЛМФХША-ШХХША-ШХЦКЛЛКГ-ЗССЗЩЦХША-А-А-ШХХША-ДДШХХШДСЕЛКДССДШХЦЗСЖЛКГ-Г-Г-ЗЗЗСЖЛЛЖССТ
4	10	1	ПОФФООФФИЛЛКДСРРСДА+ШХЦЦХХФМКГ+ЩЦХШДДШХЦХШККШХЦЩЗЗЩЦХШДСР
4	10	2	ПОФФФЦЩГ+КЛЛКЗССЗЩЦФМЛЖЖВЖССТ
4	11	1	НОФХША+КИИКА-А-А-ДДА-ШХЦШГ+КМИЛЕСДШХЦЩГ-ККЩЦХША-ККА-ККА-ДДА-А-ШХЦЩГ-ЗСТ
4	11	2	НОФХША+ШХХХЦЩГ+КЛЛКГ-Г-ЗССЗГ-ЩЦХША-ШХЦЩГ-КЛЖСЗГ-КЛЛКККГ-ЗЗЩЦХШДССДА-А-ШХЦЩГ-ЩХШШХЦЩГ-ЗССЗШ-ЩЦХША-ДДШХЦЩЗСТ
4	11	3	НОФХША+ККА-ШХЦЩГ+ККГ-ЗССЗЩЦХША-ККА-ШХЦЩГ-КЛЛКГ-ЗСТТСЗЩЦХХЦЩГ-ЗСТТЖЛКГ-ЗЗГ-ЩЦХХФФЦЩГ-ЗСССССТ
4	12	1	ПОФХША+КЛВЛКШХЦЩГ+Г-ЩЦХХФООМКГ-ЗССЗГ-ЩЦХША-ДСРРР
4	12	2	НОМККЛЛКГ+КЛЛММКЩЦХША+ШХХШККДССДА-ШХЦЩЩЦХША-КЛЛИФЦЩГ-КЛЖССЖЛКЩЦХША-А-ДССДА-ШХЦЩЗССЗЩЦХШКЛЛКДСЕЛКА-ДДА-А-ШХХШДДШХЦЩКЛЖССТ
4	13	1	НОМЛЛКЗССЗЗЗЗСЖЛКА+ШХФООООФХША-ШХЦЩГ-ККЗЗЩЦХША-КЛЛКА-ШХЦЩЗССТ
4	13	2	НОФХША+ШХЦЩГ+ЗЗЩЦХХЦЩЗЗЩЦХША-А-ДСР
4	14	1	НОФХША+ККА-ДСР
